data,consumo_por_residencia
2004-01-31,114.12840132019005
2004-02-29,108.62401795735128
2004-03-31,111.50674764802143
2004-04-30,114.53900971635352
2004-05-31,106.67336697686872
2004-06-30,100.8505300725861
2004-07-31,98.57538139969583
2004-08-31,97.47502084268582
2004-09-30,112.67934071368407
2004-10-31,105.08493682207393
2004-11-30,110.74411263090508
2004-12-31,118.04080840496508
2005-01-31,122.18089441425701
2005-02-28,117.65140968908369
2005-03-31,123.05953017269556
2005-04-30,118.42305482365715
2005-05-31,114.54203215830064
2005-06-30,104.72142203048567
2005-07-31,100.75897441801008
2005-08-31,102.18291856043817
2005-09-30,105.685813004415
2005-10-31,107.62600898189146
2005-11-30,111.02396697534819
2005-12-31,115.38945616013989
2006-01-31,117.93096362089929
2006-02-28,108.57946834552557
2006-03-31,124.78672537044928
2006-04-30,119.74422563479393
2006-05-31,115.27396124285225
2006-06-30,106.49012798991386
2006-07-31,107.50506909201721
2006-08-31,101.7602823055327
2006-09-30,103.31692206183722
2006-10-31,111.55080213903744
2006-11-30,117.1247290698811
2006-12-31,117.75020170162828
2007-01-31,121.23359975870909
2007-02-28,110.72354198173409
2007-03-31,111.81502172403931
2007-04-30,114.90683366283466
2007-05-31,112.0184252770674
2007-06-30,106.60252311750584
2007-07-31,102.25247547407633
2007-08-31,102.94415220904774
2007-09-30,98.6291217364169
2007-10-31,105.51734432988268
2007-11-30,108.88509448271775
2007-12-31,119.88241643807238
2008-01-31,118.14455735029014
2008-02-29,117.05192712556124
2008-03-31,120.70685816681147
2008-04-30,115.38533009771882
2008-05-31,115.5216179856379
2008-06-30,105.85399110553264
2008-07-31,104.90028015122888
2008-08-31,103.20891702445496
2008-09-30,102.6879001237805
2008-10-31,110.63022199318789
2008-11-30,112.69467587951642
2008-12-31,116.67360321791075
2009-01-31,111.88566521238981
2009-02-28,113.35029073036063
2009-03-31,116.96424888869667
2009-04-30,123.87460973634352
2009-05-31,121.97233092332087
2009-06-30,113.72516830088831
2009-07-31,111.26783460007746
2009-08-31,113.02793693150372
2009-09-30,105.90823417096993
2009-10-31,116.83781559096981
2009-11-30,121.83764185811525
2009-12-31,125.88944957731677
2010-01-31,121.23171992731604
2010-02-28,118.07242937979392
2010-03-31,132.6345741780396
2010-04-30,127.2881575329298
2010-05-31,125.64735545644007
2010-06-30,117.59157191298809
2010-07-31,112.38206480038752
2010-08-31,106.39715033168625
2010-09-30,107.73462578657644
2010-10-31,120.12536813135469
2010-11-30,123.09397444473197
2010-12-31,130.69989653748962
2011-01-31,130.22144043677716
2011-02-28,118.7952916273029
2011-03-31,128.93013420826708
2011-04-30,127.45402778986991
2011-05-31,120.01062979699158
2011-06-30,112.82025394441433
2011-07-31,112.49806114505282
2011-08-31,112.96031413171481
2011-09-30,115.54819844856334
2011-10-31,119.95785472638566
2011-11-30,121.64399661751376
2011-12-31,129.30775445150772
2012-01-31,131.6822745299634
2012-02-29,119.53295304250977
2012-03-31,129.06629326883734
2012-04-30,119.93777722300922
2012-05-31,121.69361524580567
2012-06-30,120.65379939944098
2012-07-31,112.05853357691176
2012-08-31,112.40801072452906
2012-09-30,112.08226092979568
2012-10-31,116.12570985649793
2012-11-30,122.81567142155492
2012-12-31,129.5255944348936
2013-01-31,132.6641273408607
2013-02-28,129.18706653023028
2013-03-31,136.14617235431052
2013-04-30,143.17754747502283
2013-05-31,135.69252150117413
2013-06-30,124.73745753600781
2013-07-31,123.56629031193306
2013-08-31,122.13002611525476
2013-09-30,124.24575074347611
2013-10-31,131.7015398656232
2013-11-30,136.1147362009408
2013-12-31,138.9174118503853
2014-01-31,142.8873112272537
2014-02-28,129.67605761434473
2014-03-31,141.65358723899263
2014-04-30,138.584247931746
2014-05-31,138.75673013999096
2014-06-30,131.89914475229975
2014-07-31,124.96677907742095
2014-08-31,122.45382089789284
2014-09-30,121.87288380895336
2014-10-31,129.72759199755643
2014-11-30,135.41213022465345
2014-12-31,141.08597503625066
2015-01-31,143.16843564629465
2015-02-28,140.2610609514964
2015-03-31,137.7339057932392
2015-04-30,139.21207175841582
2015-05-31,142.18674183332203
2015-06-30,129.37241458357212
2015-07-31,120.29949628217574
2015-08-31,113.55893849136034
2015-09-30,119.70055634606055
2015-10-31,126.12079190859663
2015-11-30,126.10119575710976
2015-12-31,139.6733770966803
2016-01-31,132.94750925265495
2016-02-29,126.34737475504471
2016-03-31,135.85744174024364
2016-04-30,140.04884934154438
2016-05-31,133.30459024193306
2016-06-30,126.92807094480604
2016-07-31,117.73637928752
2016-08-31,115.87118924728733
2016-09-30,118.50388606568553
2016-10-31,125.91588563237153
2016-11-30,130.92944847750738
2016-12-31,139.48183706124672
2017-01-31,131.14444836067867
2017-02-28,131.87046324951615
2017-03-31,141.77967125823153
2017-04-30,131.84977188929213
2017-05-31,131.2116183271698
2017-06-30,123.97573736793335
2017-07-31,111.21633424608365
2017-08-31,109.41176470588235
2017-09-30,113.43557551078527
2017-10-31,121.13275636929575
2017-11-30,127.93854516862002
2017-12-31,135.15229566809356
2018-01-31,129.38641773895208
2018-02-28,129.4127053436373
2018-03-31,132.40763016210798
2018-04-30,132.36750250479395
2018-05-31,125.39209436504714
2018-06-30,123.35840078504224
2018-07-31,113.07529499519228
2018-08-31,116.052947053255
2018-09-30,114.66230432852817
2018-10-31,129.6724394940922
2018-11-30,137.14777787499366
2018-12-31,138.37347097902344
2019-01-31,130.99716687566766
2019-02-28,131.4749151724496
2019-03-31,145.73869662855597
2019-04-30,133.1567922096154
2019-05-31,139.35972729012795
2019-06-30,125.38413961216149
2019-07-31,121.62447858045459
2019-08-31,113.75116694003667
2019-09-30,113.01856774183412
2019-10-31,131.81928809272702
2019-11-30,134.564239522191
2019-12-31,144.57684828553354
2020-01-31,133.44980662357693
2020-02-29,134.43826213325576
2020-03-31,146.58952393218763
2020-04-30,150.70738110865804
2020-05-31,141.67891145358456
2020-06-30,123.68096473929727
2020-07-31,125.31882907383321
2020-08-31,119.71696903638178
2020-09-30,121.85302754616032
2020-10-31,131.31047146152926
2020-11-30,137.14029689691216
2020-12-31,141.61449284927974
2021-01-31,143.5931883192581
2021-02-28,134.7540318484781
2021-03-31,143.94136254305866
2021-04-30,143.22855082576802
2021-05-31,126.78250975396546
2021-06-30,128.32909025764445
2021-07-31,117.1107917203249
2021-08-31,117.842259117158
2021-09-30,120.65546029206651
2021-10-31,131.28245253998602
2021-11-30,132.16350016847673
2021-12-31,143.22167683163534
2022-01-31,136.03138310903356
2022-02-28,131.49072016866833
2022-03-31,143.92442689968755
2022-04-30,131.40046564739524
2022-05-31,132.57809144119923
2022-06-30,120.21639207693711
2022-07-31,115.8403637722899
2022-08-31,114.27784481775008
2022-09-30,119.415129032432
2022-10-31,122.16514994422504
2022-11-30,136.45629635486452
2022-12-31,133.69521353223783
2023-01-31,134.82638152377447
2023-02-28,135.3479918748441
2023-03-31,144.9633079390313
2023-04-30,137.05194101301882
2023-05-31,142.48781981681006
2023-06-30,122.90574313263143
2023-07-31,115.28028481967038
2023-08-31,123.3432566705982
2023-09-30,127.76659626728812
2023-10-31,126.47436594589459
2023-11-30,139.34153933912134
2023-12-31,141.0395072196533
